1;arms_factory;56.00;9.50;928.00;3.15;0
1;arms_factory;58.00;9.50;135.00;6.16;0
1;arms_factory;114.00;9.50;1261.00;1.09;0
1;arms_factory;116.00;9.50;468.00;5.22;0
1;arms_factory;118.00;9.50;1721.00;0.49;0
1;arms_factory;52.00;9.50;802.00;4.61;0
1;industrial_complex;55.00;9.50;9.00;5.82;0
1;industrial_complex;34.00;9.50;1533.00;3.66;0
1;industrial_complex;112.00;9.50;342.00;5.22;0
1;industrial_complex;115.00;9.50;1595.00;1.60;0
1;industrial_complex;94.00;9.50;1073.00;5.72;0
1;industrial_complex;51.00;9.50;1929.00;2.10;0
1;air_base;30.00;9.50;1407.00;3.66;0
1;naval_base;122.00;9.50;979.00;1.57;2
1;bunker;88.00;9.50;1740.00;4.17;0
1;coastal_bunker;122.00;9.50;985.00;1.57;0
1;dockyard;122.00;9.50;988.00;1.57;0
1;anti_air_building;27.00;9.50;1281.00;4.78;0
1;anti_air_building;29.00;9.50;488.00;1.16;0
1;anti_air_building;8.00;9.50;2012.00;2.71;0
1;synthetic_refinery;86.00;9.50;821.00;0.55;0
1;fuel_silo;89.00;9.50;28.00;4.68;0
1;radar_station;62.00;9.50;1024.00;0.05;0
1;rocket_site;70.00;9.50;759.00;2.62;0
1;nuclear_reactor;5.00;9.50;1886.00;5.28;0
2;arms_factory;2745.00;9.80;642.00;5.22;0
2;arms_factory;2735.00;9.80;642.00;0.49;0
2;arms_factory;2746.00;9.80;635.00;4.61;0
2;arms_factory;2739.00;9.80;645.00;5.82;0
2;arms_factory;2749.00;9.80;648.00;3.66;0
2;arms_factory;2736.00;9.80;637.00;5.22;0
2;industrial_complex;2733.00;9.80;650.00;1.60;0
2;industrial_complex;2740.00;9.80;632.00;5.72;0
2;industrial_complex;2739.00;9.80;643.00;2.10;0
2;industrial_complex;2750.00;9.80;645.00;3.66;0
2;industrial_complex;2747.00;9.80;636.00;0.04;0
2;industrial_complex;2747.00;9.80;650.00;4.17;0
2;air_base;2747.00;9.80;640.00;5.38;0
2;bunker;2740.00;9.80;639.00;2.11;0
2;bunker;2744.00;9.80;645.00;4.78;0
2;bunker;2744.00;9.80;651.00;1.16;0
2;bunker;2738.00;9.80;645.00;2.71;0
2;bunker;2753.00;9.80;639.00;0.55;0
2;bunker;2749.00;9.80;638.00;4.68;0
2;anti_air_building;2744.00;9.80;652.00;5.89;0
2;anti_air_building;2741.00;9.80;642.00;2.62;0
